,ticker,analyst_rating,article_title,article_date,link
0,AAPL,Over,Apple Inc. stock outperforms market on strong trading day,"Mar. 23, 2022 at 4:31 p.m. ET",https://www.marketwatch.com/story/apple-inc-stock-outperforms-market-on-strong-trading-day-01648067511-e71f8c6c9d76?mod=mw_quote_news
1,GOOGL,Buy,Alphabet Inc. Cl A stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 4:31 p.m. ET",https://www.marketwatch.com/story/alphabet-inc-cl-a-stock-underperforms-wednesday-when-compared-to-competitors-01648067509-a59ce08586d5?mod=mw_quote_news
2,MSFT,Buy,"Microsoft Corp. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 4:31 p.m. ET",https://www.marketwatch.com/story/microsoft-corp-stock-falls-wednesday-underperforms-market-01648067510-431d5b555325?mod=mw_quote_news
3,AMZN,Buy,What Ryan Cohen’s Insider Buys Say About GameStop’s True Value,"Mar. 23, 2022 at 6:19 p.m. ET",https://www.marketwatch.com/articles/gamestop-ryan-cohen-insider-buys-stock-price-51648072420?mod=mw_quote_news
4,FB,Over,"Meta Platforms Inc. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 4:31 p.m. ET",https://www.marketwatch.com/story/meta-platforms-inc-stock-falls-wednesday-underperforms-market-01648067506-b46e071a5d4d?mod=mw_quote_news
5,GOOG,Buy,Alphabet Inc. Cl A stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 4:31 p.m. ET",https://www.marketwatch.com/story/alphabet-inc-cl-a-stock-underperforms-wednesday-when-compared-to-competitors-01648067509-a59ce08586d5?mod=mw_quote_news
6,TSLA,Over,LG Energy Solution to Build Cylindrical Battery Factory in Arizona,"Mar. 23, 2022 at 5:33 p.m. ET",https://www.marketwatch.com/story/lg-energy-solution-to-build-cylindrical-battery-factory-in-arizona-271648071189?mod=mw_quote_news
7,NVDA,Over,NVIDIA Corp. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 5:11 p.m. ET",https://www.marketwatch.com/story/nvidia-corp-stock-underperforms-wednesday-when-compared-to-competitors-01648069901-8f48972edcf4?mod=mw_quote_news
8,JPM,Over,JPMorgan Chase & Co. stock outperforms competitors despite losses on the day,"Mar. 23, 2022 at 5:01 p.m. ET",https://www.marketwatch.com/story/jpmorgan-chase-co-stock-outperforms-competitors-despite-losses-on-the-day-01648069312-4b3d4b4f8fc4?mod=mw_quote_news
9,UNH,Buy,"UnitedHealth Group Inc. stock falls Wednesday, still outperforms market","Mar. 23, 2022 at 4:31 p.m. ET",https://www.marketwatch.com/story/unitedhealth-group-inc-stock-falls-wednesday-still-outperforms-market-01648067516-f9bd356293c6?mod=mw_quote_news
10,JNJ,Over,"Johnson & Johnson stock falls Wednesday, still outperforms market","Mar. 23, 2022 at 4:32 p.m. ET",https://www.marketwatch.com/story/johnson-johnson-stock-falls-wednesday-still-outperforms-market-01648067578-9ea2c4b04f4d?mod=mw_quote_news
11,PG,Over,Procter & Gamble Co. stock outperforms market despite losses on the day,"Mar. 23, 2022 at 5:14 p.m. ET",https://www.marketwatch.com/story/procter-gamble-co-stock-outperforms-market-despite-losses-on-the-day-01648070070-86c8689cf1a9?mod=mw_quote_news
12,V,Buy,Visa Inc. Cl A stock outperforms competitors despite losses on the day,"Mar. 23, 2022 at 5:26 p.m. ET",https://www.marketwatch.com/story/visa-inc-cl-a-stock-outperforms-competitors-despite-losses-on-the-day-01648070792-70fe5f1b727c?mod=mw_quote_news
13,HD,Over,"Home Depot Inc. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 4:57 p.m. ET",https://www.marketwatch.com/story/home-depot-inc-stock-falls-wednesday-underperforms-market-01648069027-78117033398b?mod=mw_quote_news
14,BAC,Over,Bank of America Corp. stock underperforms Wednesday when compared to competitors,"Mar. 23, 2022 at 4:32 p.m. ET",https://www.marketwatch.com/story/bank-of-america-corp-stock-underperforms-wednesday-when-compared-to-competitors-01648067550-a76003697490?mod=mw_quote_news
15,XOM,Over,Exxon Mobil Corp. stock outperforms competitors on strong trading day,"Mar. 23, 2022 at 5:30 p.m. ET",https://www.marketwatch.com/story/exxon-mobil-corp-stock-outperforms-competitors-on-strong-trading-day-01648071027-cf2555e2c451?mod=mw_quote_news
16,MA,Buy,"Mastercard Inc. stock falls Wednesday, underperforms market","Mar. 23, 2022 at 5:05 p.m. ET",https://www.marketwatch.com/story/mastercard-inc-stock-falls-wednesday-underperforms-market-01648069553-9ab4f0486664?mod=mw_quote_news
